f = [...
9.3241288403660505e+00 7.5020174911953328e+00 5.9778596974421569e+00 5.1724279526144414e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.0724862527325840e-01 1.3329747646864859e-01 1.6728395288833661e-01 1.9333280408372683e-01 1.1502267623003801e-02 1.7768217232909923e-02 2.7983920893947224e-02 3.7377573134876704e-02 
9.2123953239779244e+00 7.4316125243371021e+00 5.9348147751730052e+00 5.1411726905158295e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.0854940163034588e-01 1.3456029855232526e-01 1.6849725524430526e-01 1.9450815216628464e-01 1.1782972594306136e-02 1.8106473946490908e-02 2.8391325024864553e-02 3.7833421259142540e-02 
9.0190154118504164e+00 7.3088818289549637e+00 5.8593228214344641e+00 5.0861809418354893e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.1087684789695150e-01 1.3681983419657801e-01 1.7066818649107690e-01 1.9661117279070342e-01 1.2293675399563718e-02 1.8719667029579095e-02 2.9127629880153005e-02 3.8655953266135835e-02 
8.7558194250107082e+00 7.1400269316113230e+00 5.7545026265616501e+00 5.0094502558754632e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.1420975598737602e-01 1.4005549412883311e-01 1.7377696473439722e-01 1.9962270287585432e-01 1.3043868362695974e-02 1.9615541435671607e-02 3.0198433472299932e-02 3.9849223503461616e-02 
8.4376030001938300e+00 6.9330275640667569e+00 5.6244670217489139e+00 4.9136503906257518e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.1851707172961656e-01 1.4423713028099122e-01 1.7779462411872271e-01 2.0351468267009740e-01 1.4046296291363078e-02 2.0804349751695636e-02 3.1610928365517897e-02 4.1418226062310444e-02 
8.0802469152867360e+00 6.6967702187045166e+00 5.4739431010761770e+00 4.8019026038307269e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.2375859432069272e-01 1.4932571483592713e-01 1.8268366724590177e-01 2.0825078776113620e-01 1.5316189668233797e-02 2.2298169111260629e-02 3.3373322278411360e-02 4.3368390603133793e-02 
7.6990953177501869e+00 6.4402389391837511e+00 5.3078992594804655e+00 4.6775571995912228e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.2988539026065959e-01 1.5527374208366593e-01 1.8839845127314633e-01 2.1378680309615267e-01 1.6870214603163847e-02 2.4109934980664806e-02 3.5493976442120094e-02 4.5704797178073152e-02 
7.3077909869181470e+00 6.1718611910503185e+00 5.1312148937229587e+00 4.5439872026922083e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.3684025744443487e-01 1.6202567897185993e-01 1.9488562079582852e-01 2.2007104232325364e-01 1.8725256057459214e-02 2.6252320646292213e-02 3.7980405192975471e-02 4.8431263669243295e-02 
6.9176260971402010e+00 5.8990616700270069e+00 4.9484224001653931e+00 4.4044164789014575e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.4455826116612569e-01 1.6951848547049039e-01 2.0208460780683893e-01 2.2704483211120363e-01 2.0897090871373803e-02 2.8736516916208862e-02 4.0838188712443907e-02 5.1549355788404645e-02 
6.5373431557713486e+00 5.6280256475169814e+00 4.7635334865230705e+00 4.2617923482107738e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.5296734103932913e-01 1.7768220378334421e-01 2.0992819780299385e-01 2.3464306054700895e-01 2.3399007424642425e-02 3.1570965541305861e-02 4.4069848232812910e-02 5.5057365862867309e-02 
6.1732592856444617e+00 5.3636382680371213e+00 4.5799465898990821e+00 4.1187046039068020e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.6198898405667797e-01 1.8644061176891416e-01 2.1834315758298717e-01 2.4279478529522336e-01 2.6240430955714669e-02 3.4760101716766974e-02 4.7673734463309164e-02 5.8949307766553612e-02 
5.8295795490838085e+00 5.1095504291318097e+00 4.4004222465658618e+00 3.9773466867793990e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.7153895775505157e-01 1.9571193471319065e-01 2.2725091910904938e-01 2.5142389606718846e-01 2.9425614027689367e-02 3.8303161389180197e-02 5.1642980235907701e-02 6.3213975513604387e-02 
5.5087890968024720e+00 4.8683214256852967e+00 4.2271088075548535e+00 3.8395111184466129e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.8152809672463976e-01 2.0540960888983073e-01 2.3656831312521720e-01 2.6044982529040817e-01 3.2952449900470172e-02 4.2193107424273228e-02 5.5964566774910809e-02 6.7834111493804139e-02 
5.2120486784380056e+00 4.6415970031122979e+00 4.0616007434986052e+00 3.7066099553747209e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.9186313515009018e-01 2.1544308980927834e-01 2.4620834571214262e-01 2.6978830037133072e-01 3.6811462629621768e-02 4.6415724946568773e-02 6.0618549498309936e-02 7.2785727017251375e-02 
